id,name,description,category,price
1,Baby Towel Set,Soft organic cotton towel set for newborns and infants,Baby gifts,45
2,Folding Skillet,Lightweight non-stick folding pan perfect for camping,Outdoor,39
3,Wooden Baby Blocks,Educational wooden alphabet blocks for toddlers,Baby gifts,35
4,Camping Cookware Set,Compact 4-piece stainless steel cookware for outdoor adventures,Outdoor,89
5,Baby Monitor,Digital video baby monitor with night vision,Baby gifts,125
6,Portable Camping Stove,Compact gas stove ideal for backpacking and camping,Outdoor,65
7,Soft Baby Blanket,Ultra-soft fleece blanket perfect for baby's comfort,Baby gifts,28
8,Hiking Backpack,Lightweight 40L hiking backpack with multiple compartments,Outdoor,95
9,Baby Feeding Set,BPA-free silicone feeding set with bowls and spoons,Baby gifts,42
10,Camping Lantern,LED lantern with multiple brightness settings and USB charging,Outdoor,35
11,Baby Bath Thermometer,Digital floating thermometer for safe bath time,Baby gifts,18
12,Compact Camping Chair,Foldable lightweight chair for outdoor relaxation,Outdoor,55
13,Baby Photo Album,Beautiful keepsake album for first year memories,Baby gifts,32
14,Water Filter Bottle,Portable water filter bottle for hiking and travel,Outdoor,48
15,Baby Teething Toys,Safe silicone teething toys for soothing baby's gums,Baby gifts,25
16,Solar Power Bank,Solar-powered charger for outdoor adventures,Outdoor,75
17,Baby Sleep Soother,Musical night light with nature sounds,Baby gifts,58
18,Camping Hammock,Lightweight parachute nylon hammock with tree straps,Outdoor,42
19,Baby Milestone Cards,Beautiful cards to document baby's first year milestones,Baby gifts,22
20,Outdoor Cooking Utensils,Titanium utensil set for lightweight camping,Outdoor,38
